City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Candido De Abreu,BR,67.59,overcast clouds,-24.5669,-51.3333,Hotel Recanto
5,Mar Del Plata,AR,71.83,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Atuona,PF,77.22,few clouds,-9.8,-139.0333,Villa Enata
7,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Bengkulu,ID,74.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
11,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
12,Rikitea,PF,73.92,light rain,-23.1203,-134.9692,People ThankYou
14,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
15,Ratnagiri,IN,75.7,broken clouds,16.9833,73.3,Hotel Landmark
20,San Quintin,MX,65.12,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
23,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
24,Kruisfontein,ZA,70.07,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
25,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
26,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
27,Caucaia,BR,84.15,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
30,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
31,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
32,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
33,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Nabire,ID,75.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
43,Shirwal,IN,66.67,broken clouds,18.1333,73.9833,HOTEL PRIYANKA BAR AND LODGING
45,Marsa Matruh,EG,67.26,clear sky,31.3525,27.2453,Beau Site
47,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Port Alfred,ZA,70.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
56,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Central
57,Hervey Bay,AU,68.68,clear sky,-25.2986,152.8535,Shelly Bay Resort
61,Butaritari,KI,81.03,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
62,Cidreira,BR,69.03,overcast clouds,-30.1811,-50.2056,Hotel Castelo
63,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
64,Biak,ID,77.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
67,Inongo,CD,71.69,overcast clouds,-1.95,18.2667,Hotel Du Lac
68,Todos Santos,MX,83.05,clear sky,23.45,-110.2167,Hotel California Todos Santos
72,Kapoeta,SS,80.67,overcast clouds,4.7717,33.5903,Lokoges PHCC
75,Manggar,ID,78.71,overcast clouds,-2.8833,108.2667,Guest Hotel
78,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
80,Sao Joao Do Paraiso,BR,78.98,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
83,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,Cabo San Lucas,MX,83.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
85,Bredasdorp,ZA,66.16,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
86,Cape Town,ZA,65.08,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
90,Port Elizabeth,ZA,67.32,clear sky,-33.918,25.5701,39 On Nile Guest House
91,Sedhiou,SN,79.74,overcast clouds,12.7081,-15.5569,Auberge Cheznous
93,Tecoanapa,MX,83.64,few clouds,16.5167,-98.75,Hotel Manglares
95,Tucupita,VE,87.21,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
97,Oussouye,SN,81.19,overcast clouds,12.485,-16.5469,Auberge du Routard
98,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
