City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Roald,NO,62.5833,6.1333,60.75,94,100,24.16,moderate rain
1,Torbay,CA,47.6666,-52.7314,43.75,89,75,11.5,light rain
2,Ilulissat,GL,69.2167,-51.1,21.22,73,75,6.91,broken clouds
3,Bluff,NZ,-46.6,168.3333,54.61,78,100,4.12,overcast clouds
4,Candido De Abreu,BR,-24.5669,-51.3333,67.59,82,100,2.39,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,71.83,87,0,12.66,clear sky
6,Atuona,PF,-9.8,-139.0333,77.22,81,12,15.1,few clouds
7,Vaini,TO,-21.2,-175.2,78.96,94,40,6.91,scattered clouds
8,Presque Isle,US,46.6811,-68.0159,60.3,59,40,4.61,scattered clouds
9,Bengkulu,ID,-3.8004,102.2655,74.48,92,94,3.65,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,51.12,79,100,1.5,overcast clouds
11,Mersing,MY,2.4312,103.8405,76.91,94,40,6.91,scattered clouds
12,Rikitea,PF,-23.1203,-134.9692,73.92,87,100,11.23,light rain
13,Pevek,RU,69.7008,170.3133,-2.24,98,99,1.72,overcast clouds
14,Avarua,CK,-21.2078,-159.775,75.25,73,40,11.5,scattered clouds
15,Ratnagiri,IN,16.9833,73.3,75.7,52,51,5.37,broken clouds
16,Araouane,ML,18.9048,-3.5265,78.4,10,100,7.23,overcast clouds
17,Nenjiang,CN,49.1833,125.2167,20.32,90,100,4.29,overcast clouds
18,Leningradskiy,RU,69.3833,178.4167,1.8,93,100,8.14,overcast clouds
19,Pierre,US,44.3683,-100.351,25.05,76,100,16.11,mist
20,San Quintin,MX,30.4833,-115.95,65.12,43,100,5.21,overcast clouds
21,Jamestown,US,42.097,-79.2353,62.24,72,100,10.36,heavy intensity rain
22,Gouloure,BF,12.2306,-1.9289,83.93,25,5,3.56,clear sky
23,Pisco,PE,-13.7,-76.2167,71.65,64,0,9.22,clear sky
24,Kruisfontein,ZA,-34.0033,24.7314,70.07,74,81,3.65,broken clouds
25,Georgetown,MY,5.4112,100.3354,78.73,92,20,0.0,few clouds
26,Saint-Joseph,RE,-21.3667,55.6167,71.98,83,34,9.73,scattered clouds
27,Caucaia,BR,-3.7361,-38.6531,84.15,72,0,12.66,clear sky
28,Severo-Kurilsk,RU,50.6789,156.125,34.2,61,93,30.11,overcast clouds
29,Gravdal,NO,68.1214,13.5031,46.29,87,75,17.27,moderate rain
30,Hilo,US,19.7297,-155.09,76.24,90,100,10.36,light rain
31,San Patricio,US,28.017,-97.5169,84.29,57,94,11.61,overcast clouds
32,Kahului,US,20.8947,-156.47,82.42,53,20,18.41,few clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,71.55,82,66,8.99,broken clouds
34,Barrow,US,71.2906,-156.7887,15.82,86,100,18.41,light snow
35,Tuatapere,NZ,-46.1333,167.6833,53.87,80,100,1.9,overcast clouds
36,Codrington,AU,-38.2667,141.9667,50.11,93,99,8.28,light rain
37,Punta Arenas,CL,-53.15,-70.9167,53.62,66,40,11.5,light intensity shower rain
38,Nikolskoye,RU,59.7035,30.7861,53.49,92,100,11.54,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,-3.14,63,0,7.56,clear sky
40,Nabire,ID,-3.3667,135.4833,75.79,89,91,2.75,overcast clouds
41,Carauari,BR,-4.8828,-66.8958,92.55,46,90,2.24,heavy intensity rain
42,Henties Bay,NA,-22.116,14.2845,60.17,84,0,9.08,clear sky
43,Shirwal,IN,18.1333,73.9833,66.67,62,66,4.38,broken clouds
44,Fortuna,US,40.5982,-124.1573,59.34,75,28,5.99,scattered clouds
45,Marsa Matruh,EG,31.3525,27.2453,67.26,58,0,9.4,clear sky
46,Kodiak,US,57.79,-152.4072,42.31,93,100,20.71,light rain
47,Kapaa,US,22.0752,-159.319,80.58,66,40,12.66,scattered clouds
48,Hobart,AU,-42.8794,147.3294,51.66,81,100,14.97,overcast clouds
49,Parabel,RU,58.6978,81.4825,26.96,96,100,6.08,overcast clouds
50,Kargil,IN,34.5667,76.1,23.16,51,19,4.61,few clouds
51,Ouango,CF,4.3133,22.5552,70.25,99,100,4.16,overcast clouds
52,Port Alfred,ZA,-33.5906,26.891,70.18,91,100,8.99,overcast clouds
53,Cherskiy,RU,68.75,161.3,-26.81,100,63,2.66,broken clouds
54,Songjianghe,CN,42.1859,127.479,45.0,87,100,6.64,moderate rain
55,Reitz,ZA,-27.8014,28.4273,55.27,95,100,2.26,overcast clouds
56,Victoria,HK,22.2855,114.1577,76.32,89,0,5.01,clear sky
57,Hervey Bay,AU,-25.2986,152.8535,68.68,69,8,5.73,clear sky
58,Carnarvon,AU,-24.8667,113.6333,63.3,62,0,24.25,clear sky
59,Upernavik,GL,72.7868,-56.1549,10.99,86,100,4.85,overcast clouds
60,Baruun-Urt,MN,46.6806,113.2792,16.38,67,2,3.4,clear sky
61,Butaritari,KI,3.0707,172.7902,81.03,76,94,14.36,overcast clouds
62,Cidreira,BR,-30.1811,-50.2056,69.03,79,100,12.15,overcast clouds
63,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,56,9.1,broken clouds
64,Biak,ID,-0.9131,122.8766,77.23,84,100,1.81,overcast clouds
65,Cizre,TR,37.3272,42.1903,56.41,71,0,8.05,clear sky
66,Saint George,US,37.1041,-113.5841,48.94,30,0,4.0,clear sky
67,Inongo,CD,-1.95,18.2667,71.69,92,100,4.47,overcast clouds
68,Todos Santos,MX,23.45,-110.2167,83.05,75,4,8.32,clear sky
69,Ushuaia,AR,-54.8,-68.3,51.46,46,40,20.71,scattered clouds
70,Hermanus,ZA,-34.4187,19.2345,63.81,79,0,4.5,clear sky
71,Klaksvik,FO,62.2266,-6.589,50.92,83,80,29.15,broken clouds
72,Kapoeta,SS,4.7717,33.5903,80.67,46,100,3.58,overcast clouds
73,Biloela,AU,-24.4167,150.5,60.94,76,0,3.24,clear sky
74,Port Hardy,CA,50.6996,-127.4199,42.98,87,75,10.36,broken clouds
75,Manggar,ID,-2.8833,108.2667,78.71,86,100,5.75,overcast clouds
76,Verkh-Usugli,RU,52.7,115.1667,7.03,94,21,3.4,few clouds
77,Esperance,AU,-33.8667,121.9,54.97,70,89,19.69,overcast clouds
78,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,14.97,few clouds
79,Chokurdakh,RU,70.6333,147.9167,-23.26,98,94,6.55,overcast clouds
80,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,78.98,56,100,4.81,overcast clouds
81,Zakamensk,RU,50.3741,103.2863,11.19,95,100,2.19,overcast clouds
82,Albany,US,42.6001,-73.9662,66.63,79,100,1.01,overcast clouds
83,Salalah,OM,17.0151,54.0924,80.69,69,20,3.44,few clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,83.5,53,20,4.61,few clouds
85,Bredasdorp,ZA,-34.5322,20.0403,66.16,87,100,6.87,overcast clouds
86,Cape Town,ZA,-33.9258,18.4232,65.08,69,0,6.91,clear sky
87,Dolny Kubin,SK,49.2098,19.3034,49.93,85,83,0.81,broken clouds
88,Zhuanghe,CN,39.7008,122.9911,57.06,87,100,10.29,overcast clouds
89,Beidao,CN,34.5686,105.8933,38.25,96,100,5.06,overcast clouds
90,Port Elizabeth,ZA,-33.918,25.5701,67.32,95,0,4.61,clear sky
91,Sedhiou,SN,12.7081,-15.5569,79.74,35,99,2.51,overcast clouds
92,Thompson,CA,55.7435,-97.8558,1.56,78,20,3.44,few clouds
93,Tecoanapa,MX,16.5167,-98.75,83.64,71,16,8.46,few clouds
94,Kuzhenkino,RU,57.7611,33.9508,46.87,89,100,15.21,light rain
95,Tucupita,VE,9.0622,-62.051,87.21,62,44,4.5,scattered clouds
96,Orlik,RU,52.5178,99.825,9.54,85,100,2.55,overcast clouds
97,Oussouye,SN,12.485,-16.5469,81.19,50,100,3.8,overcast clouds
98,Mahebourg,MU,-20.4081,57.7,73.69,78,40,3.44,scattered clouds
99,Mindelo,CV,16.8901,-24.9804,78.35,61,40,18.41,scattered clouds
100,Paamiut,GL,61.994,-49.6678,25.25,71,100,15.37,overcast clouds
